"keyword","search_intent","language","topic","entity","competitor","competitor_url","existing_obour_url","gap_type","priority","estimated_difficulty","business_value","local_intent","recommended_page_type","recommended_url","source_requirements","status"
"St. Joseph School Obour","informational","mixed","entity","St. Joseph School Obour","kidsdirectory.com.eg","https://kidsdirectory.com.eg/ad-category/schools/in-el-obour-city/","","missing-page","high","medium","medium","high","entity-page","/search/?q=St.%20Joseph%20School%20Obour","Official website or verified directory listing","open"
"Nile Sons International School","informational","mixed","entity","Nile Sons International School","kidsdirectory.com.eg","https://kidsdirectory.com.eg/ad-category/schools/in-el-obour-city/","source:Kids Directory","weak-page","medium","medium","medium","high","entity-page","source:Kids Directory","Official website or verified directory listing","open"
"International Public School","informational","mixed","entity","International Public School","kidsdirectory.com.eg","https://kidsdirectory.com.eg/ad-category/schools/in-el-obour-city/","","missing-page","high","medium","medium","high","entity-page","/search/?q=International%20Public%20School","Official website or verified directory listing","open"
"Nile Sons International School","informational","mixed","entity","Nile Sons International School","gludo.org","https://gludo.org/en/business-directory/city/al-qalyubiyah/d/el-obour-2/schools/","source:Kids Directory","weak-page","medium","medium","medium","high","entity-page","source:Kids Directory","Official website or verified directory listing","open"
"International Public School","informational","mixed","entity","International Public School","gludo.org","https://gludo.org/en/business-directory/city/al-qalyubiyah/d/el-obour-2/schools/","","missing-page","high","medium","medium","high","entity-page","/search/?q=International%20Public%20School","Official website or verified directory listing","open"
"Tabarak Children's Hospital","informational","mixed","entity","Tabarak Children's Hospital","yellowpages.com.eg","https://yellowpages.com.eg/en/category/obour-city-international-schools/3262","source:يلو بيدجز مصر (Yellow.com.eg)","weak-page","medium","medium","medium","high","entity-page","source:يلو بيدجز مصر (Yellow.com.eg)","Official website or verified directory listing","open"
"El Obour Secondary School for Boys","informational","mixed","entity","El Obour Secondary School for Boys","yellowpages.com.eg","https://yellowpages.com.eg/en/category/obour-city-international-schools/3262","source:يلو بيدجز مصر (Yellow.com.eg)","weak-page","medium","medium","medium","high","entity-page","source:يلو بيدجز مصر (Yellow.com.eg)","Official website or verified directory listing","open"
"Youth Silver Mall","informational","mixed","entity","Youth Silver Mall","infoeg.com","https://en.infoeg.com/qalyubia/section/668/categories","","missing-page","high","medium","medium","high","entity-page","/search/?q=Youth%20Silver%20Mall","Official website or verified directory listing","open"
"Dr. Abbas Ahmed marriage officiant","informational","mixed","entity","Dr. Abbas Ahmed marriage officiant","infoeg.com","https://en.infoeg.com/qalyubia/section/668/categories","","missing-page","high","medium","medium","high","entity-page","/search/?q=Dr.%20Abbas%20Ahmed%20marriage%20officiant","Official website or verified directory listing","open"
"Golf City Compound","informational","mixed","entity","Golf City Compound","aqarmap.com.eg","https://aqarmap.com.eg/en/compounds/cairo/obour","","missing-page","high","medium","medium","high","entity-page","/search/?q=Golf%20City%20Compound","Official website or verified directory listing","open"
"Obour compounds","informational","mixed","entity","Obour compounds","aqarmap.com.eg","https://aqarmap.com.eg/en/compounds/cairo/obour","","missing-page","high","medium","medium","high","entity-page","/search/?q=Obour%20compounds","Official website or verified directory listing","open"
"Reflect Obour City Compound","informational","mixed","entity","Reflect Obour City Compound","realestate.gov.eg","https://blogs.realestate.gov.eg/reflect-obour-city-compound-egypt/","","missing-page","high","medium","medium","high","entity-page","/search/?q=Reflect%20Obour%20City%20Compound","Official website or verified directory listing","open"
"Nxt Mall Obour","informational","mixed","entity","Nxt Mall Obour","realestate.gov.eg","https://blogs.realestate.gov.eg/reflect-obour-city-compound-egypt/","","missing-page","high","medium","medium","high","entity-page","/search/?q=Nxt%20Mall%20Obour","Official website or verified directory listing","open"
"Glory Gardens","informational","mixed","entity","Glory Gardens","realestate.eg","https://realestate.eg/en/5060473-glory-gardens-new-obour-city-compound","","missing-page","high","medium","medium","high","entity-page","/search/?q=Glory%20Gardens","Official website or verified directory listing","open"
"Okardia","informational","mixed","entity","Okardia","realestate.eg","https://realestate.eg/en/5060473-glory-gardens-new-obour-city-compound","","missing-page","high","medium","medium","high","entity-page","/search/?q=Okardia","Official website or verified directory listing","open"
